rep,id,fM1,theta,group
1,1,5.45929411234573,17.7019260747524,simulationGroup1
1,2,8.46448027377329,8.43385081356145,simulationGroup1
1,3,3.66856017760431,21.3495513213348,simulationGroup1
1,4,16.5567633279581,9.37263502546983,simulationGroup1
1,5,3.07803170729698,23.153876631234,simulationGroup1
1,6,4.74497259948207,14.0584130855048,simulationGroup1
1,7,5.58028007957475,30.1605666932454,simulationGroup1
1,8,5.64533227917128,10.1323157139121,simulationGroup1
1,9,0.61774381550514,18.5275694008042,simulationGroup1
1,10,2.18970224411451,26.1270217586214,simulationGroup1
1,11,5.20669066177913,8.76650275113922,simulationGroup1
1,12,8.21377300582298,13.5946893677674,simulationGroup1
1,13,4.32067831242376,20.2210328677921,simulationGroup1
1,14,1.05148671255547,26.0191886204968,simulationGroup1
1,15,9.45038544608879,34.8811230182498,simulationGroup1
1,16,3.89437275013356,15.3928288547939,simulationGroup1
1,17,13.2376996005597,13.654138076702,simulationGroup1
1,18,9.1836994310083,13.2741306133411,simulationGroup1
1,19,3.41161165793923,34.9229200139164,simulationGroup1
1,20,2.22388569638562,24.4960629285073,simulationGroup1
1,21,2.75043175302724,49.1291974697008,simulationGroup1
1,22,2.26163086368513,30.3127978931552,simulationGroup1
1,23,1.15421271507348,18.9565427406371,simulationGroup1
1,24,3.02928429725047,9.73226441701195,simulationGroup1
1,25,4.42353648274721,11.6270960684895,simulationGroup1
1,26,3.20607407210385,37.0148867320439,simulationGroup1
1,27,10.1998064250878,24.9357505201257,simulationGroup1
1,28,5.79617192104929,15.9771753335424,simulationGroup1
1,29,1.64273153215453,17.47076402041,simulationGroup1
1,30,10.1261515663434,11.8637161614503,simulationGroup1
1,31,5.49498693209171,11.0051728403216,simulationGroup1
1,32,4.98273798379717,21.724568394353,simulationGroup1
1,33,2.83599254508562,61.3261022395952,simulationGroup1
1,34,1.70661384999312,15.4086127844228,simulationGroup1
1,35,15.9875247134462,30.6030690054433,simulationGroup1
1,36,2.92119391321952,36.4145929714573,simulationGroup1
1,37,2.78824623794724,10.6208118014399,simulationGroup1
1,38,8.88774467701924,43.5783632956471,simulationGroup1
1,39,9.5053916909266,22.3146814617688,simulationGroup1
1,40,3.32341196264366,30.4351280816881,simulationGroup1
1,41,10.3138044351764,20.1727627238423,simulationGroup1
1,42,4.63341990039935,29.7333264174188,simulationGroup1
1,43,3.48348572622863,9.81529096463651,simulationGroup1
1,44,4.52865983531149,20.9471347906959,simulationGroup1
1,45,8.78685470752246,8.83670750045184,simulationGroup1
1,46,2.3088578124551,12.7369319088543,simulationGroup1
1,47,1.55104082416474,31.792093980511,simulationGroup1
1,48,3.58128079185892,31.3721297880262,simulationGroup1
1,49,3.87860717361377,13.2950590879312,simulationGroup1
1,50,10.677464616176,19.2001126359172,simulationGroup1
2,1,10.7709670674896,17.0914888101562,simulationGroup1
2,2,2.44378666294262,23.6123078028727,simulationGroup1
2,3,6.49326835677793,31.394626296384,simulationGroup1
2,4,8.4794484386044,22.9930098414146,simulationGroup1
2,5,7.71486678113088,27.8216942027192,simulationGroup1
2,6,10.9019588347299,20.6641937760183,simulationGroup1
2,7,6.44944190575672,12.5658406293453,simulationGroup1
2,8,2.81939284078707,8.63432235869342,simulationGroup1
2,9,17.0454024774835,16.6409376565009,simulationGroup1
2,10,3.5532543940666,23.769241153263,simulationGroup1
2,11,4.77052024360235,17.1134641280343,simulationGroup1
2,12,1.3837410316896,22.3714212659163,simulationGroup1
2,13,8.80662935908943,27.7221908032362,simulationGroup1
2,14,27.2395960991037,47.1740616389637,simulationGroup1
2,15,13.866097893054,10.569930363438,simulationGroup1
2,16,12.7878645576152,23.6073431181699,simulationGroup1
2,17,3.10452699031938,8.98930005287752,simulationGroup1
2,18,22.0472984123029,26.4118907585537,simulationGroup1
2,19,1.30497238896772,18.1327952421059,simulationGroup1
2,20,25.0106666870213,15.0280744462795,simulationGroup1
2,21,30.5745732319187,5.71856027525826,simulationGroup1
2,22,5.39865393974968,13.1464158631337,simulationGroup1
2,23,12.5956769324765,14.2616305293848,simulationGroup1
2,24,3.84049744020184,26.3410303393089,simulationGroup1
2,25,13.3392039692703,14.2229764355606,simulationGroup1
2,26,3.31166034062462,21.599378043333,simulationGroup1
2,27,8.48495003891969,14.151372849531,simulationGroup1
2,28,1.44603687336263,11.6216774060036,simulationGroup1
2,29,5.15760321575996,41.450390994337,simulationGroup1
2,30,3.15127825100127,41.7596470169183,simulationGroup1
2,31,9.1649823097882,23.4077755986611,simulationGroup1
2,32,13.3713434515179,7.33076028891483,simulationGroup1
2,33,3.73766139471081,22.5422450768469,simulationGroup1
2,34,2.99899144037997,16.1051086574034,simulationGroup1
