rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,sigma_Ab,sigma_1,sigma_2,group
24,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
24,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
25,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
25,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
26,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
26,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
27,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
27,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
28,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
28,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
29,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
29,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
30,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
30,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
31,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
31,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
32,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
32,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
33,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
33,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
34,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
34,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
35,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
35,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
36,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
36,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
37,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
37,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
38,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
38,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
39,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
39,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
40,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
40,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
41,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
41,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
42,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
42,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
43,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
43,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
44,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
44,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
45,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
45,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
46,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
46,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
47,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
47,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
48,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
48,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
49,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
49,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
50,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
50,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
51,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
51,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
52,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
52,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
53,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
53,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
54,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
54,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
55,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
55,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
56,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
56,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
57,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
57,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
