rep,id,fM1,theta,group
1,1,5.45929411234573,17.7019260747524,simulationGroup1
1,2,8.46448027377329,8.43385081356145,simulationGroup1
1,3,3.66856017760431,21.3495513213348,simulationGroup1
1,4,16.5567633279581,9.37263502546983,simulationGroup1
1,5,3.07803170729698,23.153876631234,simulationGroup1
1,6,4.74497259948207,14.0584130855048,simulationGroup1
1,7,5.58028007957475,30.1605666932454,simulationGroup1
1,8,5.64533227917128,10.1323157139121,simulationGroup1
1,9,0.61774381550514,18.5275694008042,simulationGroup1
1,10,2.18970224411451,26.1270217586214,simulationGroup1
1,11,5.20669066177913,8.76650275113922,simulationGroup1
1,12,8.21377300582298,13.5946893677674,simulationGroup1
1,13,4.32067831242376,20.2210328677921,simulationGroup1
1,14,1.05148671255547,26.0191886204968,simulationGroup1
1,15,9.45038544608879,34.8811230182498,simulationGroup1
2,1,10.7709670674896,17.0914888101562,simulationGroup1
2,2,2.44378666294262,23.6123078028727,simulationGroup1
2,3,6.49326835677793,31.394626296384,simulationGroup1
2,4,8.4794484386044,22.9930098414146,simulationGroup1
2,5,7.71486678113088,27.8216942027192,simulationGroup1
2,6,10.9019588347299,20.6641937760183,simulationGroup1
2,7,6.44944190575672,12.5658406293453,simulationGroup1
2,8,2.81939284078707,8.63432235869342,simulationGroup1
2,9,17.0454024774835,16.6409376565009,simulationGroup1
2,10,3.5532543940666,23.769241153263,simulationGroup1
2,11,4.77052024360235,17.1134641280343,simulationGroup1
2,12,1.3837410316896,22.3714212659163,simulationGroup1
2,13,8.80662935908943,27.7221908032362,simulationGroup1
2,14,27.2395960991037,47.1740616389637,simulationGroup1
2,15,13.866097893054,10.569930363438,simulationGroup1
3,1,10.2498764708862,8.27601194777965,simulationGroup1
3,2,5.16893990731791,5.51375928783663,simulationGroup1
3,3,0.6326780455347994,12.6828703340425,simulationGroup1
3,4,9.42621656235297,32.5762116549227,simulationGroup1
3,5,4.66339658074806,17.7841675932225,simulationGroup1
3,6,2.51205457809538,24.3925924267948,simulationGroup1
3,7,2.28957524537194,19.1504374018544,simulationGroup1
3,8,2.95906908456311,26.8920512588225,simulationGroup1
3,9,3.98874524798622,16.4262481232365,simulationGroup1
3,10,2.83441230865344,21.1937452672158,simulationGroup1
3,11,2.0561263981853,9.509437093154,simulationGroup1
3,12,6.64065771830278,17.6364679597989,simulationGroup1
3,13,1.56644869557974,14.2687793651251,simulationGroup1
3,14,6.6847744837664,16.8005542886288,simulationGroup1
3,15,4.11657281195261,8.90436188894012,simulationGroup1
4,1,12.9464785309343,14.9160490663667,simulationGroup1
4,2,3.45426771906484,26.1950084803936,simulationGroup1
4,3,1.89984237576751,14.5906013850427,simulationGroup1
4,4,14.2740838783942,7.93137797504715,simulationGroup1
4,5,2.56546111244923,16.669837763871,simulationGroup1
4,6,4.00869085052445,12.5658281584869,simulationGroup1
4,7,6.62601728187072,5.38025957177029,simulationGroup1
4,8,18.4564310799469,12.3996410789317,simulationGroup1
4,9,3.28733956070181,21.7322136682803,simulationGroup1
4,10,6.37429443459078,28.8445645977897,simulationGroup1
4,11,12.1518782746326,48.6242898057146,simulationGroup1
4,12,1.75101085420542,20.0087974835809,simulationGroup1
4,13,2.39309650861747,10.0081582195064,simulationGroup1
4,14,1.79449328029287,19.1639418066924,simulationGroup1
4,15,5.57724932387191,39.0730902738935,simulationGroup1
5,1,4.80721999777339,26.8292387966376,simulationGroup1
5,2,8.41037644103164,25.8754700650292,simulationGroup1
5,3,2.52926815230156,16.2547158168784,simulationGroup1
5,4,7.15690957800414,33.5006051900457,simulationGroup1
5,5,4.44699618603683,14.80048233433,simulationGroup1
5,6,3.97681231428016,20.9545228294071,simulationGroup1
5,7,4.80484591979645,9.61624871248694,simulationGroup1
5,8,11.0843070338833,30.3876750576852,simulationGroup1
5,9,2.09013855098449,22.8829653753645,simulationGroup1
5,10,16.687074418582,24.6256348149761,simulationGroup1
5,11,6.91909726215788,38.7124054422154,simulationGroup1
5,12,5.30752387490598,8.3722660309304,simulationGroup1
5,13,1.29764197908193,44.0557821524843,simulationGroup1
5,14,9.17149190167772,13.8108474955916,simulationGroup1
5,15,4.14393824168514,41.6682606353228,simulationGroup1
6,1,3.62106526146458,12.8070556119254,simulationGroup1
6,2,2.3496630113417,14.3018885154999,simulationGroup1
6,3,3.99861318377632,9.78865549413449,simulationGroup1
6,4,3.04482486933389,16.5051336293915,simulationGroup1
6,5,2.09691048969309,30.9694181090202,simulationGroup1
6,6,2.06284130975172,50.0924420261611,simulationGroup1
6,7,3.66171472374732,11.9731761845858,simulationGroup1
6,8,2.39923914260486,41.0706093723409,simulationGroup1
6,9,2.90219532266287,29.7652534579557,simulationGroup1
