rep,id,fM1,theta,mu_1,mu_2,mu_3,mu_4,mu_5,group
1,1,5.45929411234573,10.9887884216322,0.8473717542344863,0.3394599983788537,0.2807731875363862,2.61392370457645,1.37666406859552,simulationGroup1
1,2,8.46448027377329,7.75203820935498,0.3232071745580304,0.4491341994293108,0.3162058609710487,2.49077741559489,0.2741683833132435,simulationGroup1
1,3,3.66856017760431,17.3242155067683,1.08106717773037,0.3308601005049882,0.3047213169649079,0.7186647729871479,0.794529317320099,simulationGroup1
1,4,16.5567633279581,25.8248190986426,0.3707383572913073,0.4757670346362133,0.145529631690821,1.97652607125451,3.85816320185587,simulationGroup1
1,5,3.07803170729698,16.2503423830615,1.20131841177684,0.4892601631613884,0.1611279634126132,2.17338318425766,0.7983625840035158,simulationGroup1
1,6,4.74497259948207,13.4281647007864,0.6280070138738064,0.1820285278825368,0.2452317204396708,0.7172963536282831,0.2951596718099016,simulationGroup1
1,7,5.58028007957475,42.9725227993478,1.69402045613128,0.5517868084170572,0.3472576905508805,3.30795340999396,0.4728950104155936,simulationGroup1
1,8,5.64533227917128,15.888167151285,0.4102689325610359,0.4816958115203673,0.5645511460435726,0.6987334252929287,1.62010785816581,simulationGroup1
1,9,0.61774381550514,16.8147462592745,0.8991068101359651,0.3468134286959394,0.6057439667572829,1.99184646615176,13.0559454146067,simulationGroup1
1,10,2.18970224411451,40.8442294791787,1.40560787890761,0.5657198736246029,0.6998519906160741,0.9180042073808061,0.1678051491341147,simulationGroup1
1,11,5.20669066177913,18.4342505498098,0.3398768537231793,0.7846527529633841,0.5959835855698812,0.6636253459227015,1.04987873668052,simulationGroup1
1,12,8.21377300582298,24.9384515474452,0.6012116381881525,0.6508151106115634,0.1799610256480444,1.83817790840208,7.63199741928391,simulationGroup1
1,13,4.32067831242376,11.6266969948169,1.00737609175602,0.5520053029139546,0.1496791469780766,1.27500340433888,0.9098538339498817,simulationGroup1
1,14,1.05148671255547,12.6481106448191,1.3980708416476,0.526495901447225,0.3515520561805634,1.26600872520917,6.85732725594025,simulationGroup1
1,15,9.45038544608879,32.3889720202966,2.04651484997018,0.4326133670865004,0.326731983628639,2.97238427314832,3.08071260371353,simulationGroup1
