rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha,k,sigma_Ab,sigma_G1,sigma_G2,group
23,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
23,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
24,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
24,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
25,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
25,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
26,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
26,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
27,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
27,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
28,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
28,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
29,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
29,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
30,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
30,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
31,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
31,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
32,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
32,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
33,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
33,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
34,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
34,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
35,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
35,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
36,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
36,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
37,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
37,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
38,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
38,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
39,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
39,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
40,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
40,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
41,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
41,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
42,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
42,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
43,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
43,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
44,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
44,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
45,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
45,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
46,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
46,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
47,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
47,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
48,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
48,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
49,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
49,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
50,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
50,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
51,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
51,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
52,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
52,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
53,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
53,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
54,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
54,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
55,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
55,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
56,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
56,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
57,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
57,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
58,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
58,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
59,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
