rep,fM1_pop,omega_fM1,fM2_pop,omega_fM2,theta_1_pop,omega_theta_1,theta_2_pop,omega_theta_2,delta_V,delta_S,delta_Ab,alpha_1,sigma_Ab,sigma_1,group
41,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
42,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
43,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
44,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
45,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
46,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
47,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
48,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
49,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
50,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
51,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
52,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
53,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
54,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
55,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
56,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
57,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
58,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
59,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
60,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
61,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
62,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
63,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
64,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
65,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
66,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
67,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
68,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
69,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
70,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
71,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
72,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
73,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
74,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
75,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
76,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
77,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
78,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
79,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
80,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
81,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
82,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
83,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
84,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
85,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
86,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
87,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
88,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
