rep,id,fM1,theta,group
1,1,4.70320101817921,0.4018623622193602,simulationGroup1
1,2,6.30682276236037,0.3243764832892735,simulationGroup1
1,3,3.60495391558488,0.424214546641934,simulationGroup1
1,4,9.87951673533383,0.3344196993249001,simulationGroup1
1,5,3.20559097423191,0.4342755165161539,simulationGroup1
1,6,4.28203884467573,0.3759774878279361,simulationGroup1
1,7,4.77267575301492,0.4687453309080717,simulationGroup1
1,8,4.80982488722154,0.3420350752284513,simulationGroup1
1,9,1.0947525202529,0.4071900741417945,simulationGroup1
1,10,2.55254555965792,0.4497005679205976,simulationGroup1
1,11,4.55647930527532,0.3280221782780894,simulationGroup1
1,12,6.18123579651821,0.3723516334285157,simulationGroup1
1,13,4.02193621042489,0.4176105450845085,simulationGroup1
1,14,1.56260058709973,0.4491635496579226,simulationGroup1
1,15,6.78923675672582,0.4888571809408282,simulationGroup1
1,16,3.75192710910407,0.3859577786761236,simulationGroup1
1,17,8.50619512751076,0.3728213298828692,simulationGroup1
1,18,6.66046036013023,0.3697934498789754,simulationGroup1
1,19,3.43401845311323,0.4890263483195071,simulationGroup1
1,20,2.5791346652946,0.4414034828450766,simulationGroup1
1,21,2.97312668776296,0.5397061524921672,simulationGroup1
1,22,2.60833753596935,0.4694276511465043,simulationGroup1
1,23,1.66314381325018,0.4098917357182661,simulationGroup1
1,24,3.17153865436229,0.3380774393663248,simulationGroup1
1,25,4.08573913754041,0.3559071695572217,simulationGroup1
1,26,3.29419587257473,0.4973153488217768,simulationGroup1
1,27,7.14484262903787,0.4436780375676189,simulationGroup1
1,28,4.89542377978369,0.3901349323877045,simulationGroup1
1,29,2.10606632213622,0.4003391335303275,simulationGroup1
1,30,7.1102854914927,0.357984781762534,simulationGroup1
1,31,4.72374971456343,0.3502992020475255,simulationGroup1
1,32,4.42441667466529,0.4263540796868758,simulationGroup1
1,33,3.03468563826375,0.5754150265262261,simulationGroup1
1,34,2.16050963191788,0.3860720778720995,simulationGroup1
1,35,9.65097140307718,0.4707219611996444,simulationGroup1
1,36,3.09537799228823,0.4949716354750025,simulationGroup1
1,37,3.00041034405873,0.3467197633159864,simulationGroup1
1,38,6.51609236446533,0.5213316630596998,simulationGroup1
1,39,6.81564753130808,0.4296682068474658,simulationGroup1
1,40,3.37436972383178,0.469974187539574,simulationGroup1
1,41,7.19816544541484,0.4173222875871318,simulationGroup1
